"","data","Overall","north_east","north","west","capital","south_east","south","east","badakhshan","balkh_province","badghis","baghlan","bamyan_province","farah","faryab","ghor","ghazni_province","herat","helmand","jawzjan","kabul_province","kandahar_province","kunduz_province","kunar","khost","laghman","logar","nangarhar","nuristan","paktya","paktika","samangan","sar_e_pul_province","takhar","uruzgan","maidan_wardak","faiz_abad_badakhshan","baharak_badakhshan","yaftal_e_sufla","yawan","argo","kohestan_badakhshan","keshem","jorm","nahr_e_shahi","mazar_e_sharif","dehdadi","sholgareh","zari","balkh","chemtal","qala_e_naw","muqur_badghis","jawand","ab_kamari","pul_e_khumri","doshi","burka","baghlan_e_jadid","nahrin","bamyan","bala_buluk","qala_e_kah","maymana","feroz_koh","dawlatyar","shahrak","deh_yak","andar","ghazni","muqur_ghazni","giro","qarabagh","waghaz","hirat","injil","guzara","lashkargah","nahr_e_saraj","sheberghan","aqcha","kabul","bagrami","deh_sabz","paghman","kandahar","daman","maywand","arghandab","zheray","dand","panjwayi","spin_boldak","kunduz","chawkay","asad_abad","watapur","shigal","bar_kunar","dara_e_pech","sar_kani","marawara","narang","khas_kunar","nurgal","ghazi_abad","nari","dangam","chapa_dara","matun","mandozayi","gurbuz","tani","terezayi","qalandar","mehtarlam","qarghayi","pul_e_alam","surkh_rod","rodat","jalalabad","behsud","bati_kot","chaparhar","khogyani","achin","nazyan","dur_baba","deh_bala","kama","shinwar","pachir_wa_agam","wama","barg_e_matal","waygal","parun","kamdesh","mandol","nurgaram","gardez","shawak","sayed_karam","samkani","ahmadaba","dand_wa_patan","ziruk","sharan","mata_khan","urgun","barmal","surobi_paktika","zarghun_shahr","yosuf_khel","aybak","hazrat_e_sultan","dara_e_suf_e_bala","dara_e_suf_e_payin","sar_e_pul","taloqan","yangi_qala","bangi","baharak","tirinkot","maydan_shahr","nerkh","dawlatabad_balkh","karukh","muhmand_dara","duab","secure_tenure","insecure_tenure","service_inaccess","service_access","adequate_shelter","inadequate_shelter","less_5years","over_5years","mixed_popn","seperate_popn","recent_return","no_recent_return","suburb_location","rural_location","urban_location","small_site","large_site"
"804","yes_decrease","19.68","19.83","10.64","0","18.33","57.89","29.17","6.25","41.03","6.25","0","29.49","0","0","16.67","0","36.36","0","40","20","7.84","28.57","0","0","78.57","0","100","0","50","42.86","66.67","0","21.74","12.73","0","50","53.33","35.29","0","100","100","0","0","0","8.51","0","7.14","0","0","0","0","0","0","0","0","30.77","33.33","40","15.38","50","0","0","0","16.67","0","0","0","0","0","40","100","0","0","100","0","0","0","100","0","22.22","0","6.98","20","0","0","16.67","0","57.14","100","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","100","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","100","0","0","0","66.67","100","0","0","0","0","0","0","0","0","100","100","0","100","0","0","0","0","21.74","8.7","0","50","0","0","0","100","0","0","0","0","21.26","17.31","17.69","25","19.42","23.26","22.39","19.39","19.21","21.26","19.4","14.38","17.48","21.85","19.87","20.08","16.67"
"805","dont_know","4.65","5.6","1.42","0","3.33","2.63","4.17","18.75","2.56","1.25","0","3.85","0","0","5.56","0","0","0","0","0","3.92","4.76","0","40","7.14","4.55","0","100","50","0","0","0","0","16.36","0","0","0","5.88","0","0","0","0","0","0","0","0","7.14","0","0","0","0","0","0","0","0","5.77","0","0","0","0","0","0","0","5.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.65","0","0","0","16.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","100","0","0","0","0","8.33","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","100","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.39","0","0","100","0","0","0","0","0","0","0","6.03","2.4","4.18","5.92","5.05","0","4.48","4.69","5.09","3.15","6.72","7.19","2.8","6.72","4.71","4.82","3.33"
"806","move_free_m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"807","yes","95.38","92.28","95.83","93.33","91.11","95.45","98.67","98.6","87.8","92.05","100","89.16","100","33.33","100","90.91","86.67","100","100","97.06","89.61","99.18","94.87","100","95.24","100","100","97.26","94.44","100","100","98.21","95.52","95.71","75","100","86.67","89.47","100","100","100","0","100","100","92.59","90.91","92.86","100","100","66.67","100","100","100","100","100","92.59","83.33","85.71","85.71","50","100","50","0","100","88.89","100","100","0","100","87.5","100","100","100","100","100","100","100","100","100","96.97","100","88.52","92.31","100","100","98.21","100","100","100","100","100","100","100","94.87","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","92","100","100","100","100","100","100","100","100","87.5","100","100","100","100","100","100","100","100","100","100","100","100","100","100","50","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","50","100","95.52","95","100","100","100","75","100","100","100","100","100","100","95.61","94.79","95.69","94.46","95.55","93.18","93.71","95.61","94.73","97.12","97.24","94.69","93.93","95.95","95.68","95.48","94.67"
"808","no","4.45","7.72","4.17","6.67","8.89","3.41","1.33","0.93","12.2","7.95","0","10.84","0","66.67","0","9.09","13.33","0","0","2.94","10.39","0.82","5.13","0","2.38","0","0","2.74","0","0","0","1.79","4.48","4.29","25","0","13.33","10.53","0","0","0","100","0","0","7.41","9.09","7.14","0","0","33.33","0","0","0","0","0","7.41","16.67","14.29","14.29","50","0","50","100","0","11.11","0","0","100","0","12.5","0","0","0","0","0","0","0","0","0","3.03","0","11.48","7.69","0","0","1.79","0","0","0","0","0","0","0","5.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","4.48","5","0","0","0","25","0","0","0","0","0","0","4.26","4.95","4.2","5.19","4.26","6.82","6.29","4.19","5.03","2.88","2.76","5.01","6.07","3.74","4.15","4.32","5.33"
"809","dont_know","0.17","0","0","0","0","1.14","0","0.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.38","0","0","0","5.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13","0.26","0.12","0.35","0.19","0","0","0.2","0.24","0","0","0.29","0","0.31","0.17","0.2","0"
"810","move_why_m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"811","harrass","5.88235294117647","0","16.6666666666667","0","0","0","0","50","0","14.2857142857143","NaN","0","NaN","0","NaN","0","0","NaN","NaN","0","0","0","0","NaN","0","NaN","NaN","50","NaN","NaN","NaN","100","0","0","0","NaN","0","0","NaN","NaN","NaN","0","NaN","NaN","25","0","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","0","0","0","0","0","NaN","0","0","NaN","0","NaN","NaN","0","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","NaN","0","0","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","6.25","5.26315789473684","5.55555555555556","6.66666666666667","6.66666666666667","0","11.1111111111111","4.76190476190476","7.14285714285714","0","0","11.7647058823529","6.66666666666667","16.6666666666667","0","4.65116279069767","12.5"
"813","culture_barrier","1.96078431372549","0","8.33333333333333","0","0","0","0","0","0","0","NaN","0","NaN","0","NaN","0","0","NaN","NaN","0","0","0","0","NaN","0","NaN","NaN","0","NaN","NaN","NaN","100","0","0","0","NaN","0","0","NaN","NaN","NaN","0","NaN","NaN","0","0","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","0","0","0","0","0","NaN","0","0","NaN","0","NaN","NaN","0","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","NaN","0","0","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","3.125","0","2.77777777777778","0","2.22222222222222","0","0","2.38095238095238","2.38095238095238","0","0","0","0","8.33333333333333","0","2.32558139534884","0"
"815","covid","33.3333333333333","28.5714285714286","58.3333333333333","0","50","0","0","0","20","85.7142857142857","NaN","33.3333333333333","NaN","0","NaN","0","0","NaN","NaN","100","50","0","50","NaN","0","NaN","NaN","0","NaN","NaN","NaN","0","0","0","0","NaN","0","50","NaN","NaN","NaN","0","NaN","NaN","100","100","100","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","0","100","0","50","100","NaN","0","0","NaN","0","NaN","NaN","0","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","NaN","57.1428571428571","0","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","0","0","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","34.375","31.5789473684211","33.3333333333333","33.3333333333333","33.3333333333333","33.3333333333333","33.3333333333333","33.3333333333333","28.5714285714286","55.5555555555556","50","29.4117647058824","40","25","33.3333333333333","30.2325581395349","50"
