"","data","Overall","north_east","north","west","capital","south_east","south","east","badakhshan","balkh_province","badghis","baghlan","bamyan_province","farah","faryab","ghor","ghazni_province","herat","helmand","jawzjan","kabul_province","kandahar_province","kunduz_province","kunar","khost","laghman","logar","nangarhar","nuristan","paktya","paktika","samangan","sar_e_pul_province","takhar","uruzgan","maidan_wardak","faiz_abad_badakhshan","baharak_badakhshan","yaftal_e_sufla","yawan","argo","kohestan_badakhshan","keshem","jorm","nahr_e_shahi","mazar_e_sharif","dehdadi","sholgareh","zari","balkh","chemtal","qala_e_naw","muqur_badghis","jawand","ab_kamari","pul_e_khumri","doshi","burka","baghlan_e_jadid","nahrin","bamyan","bala_buluk","qala_e_kah","maymana","feroz_koh","dawlatyar","shahrak","deh_yak","andar","ghazni","muqur_ghazni","giro","qarabagh","waghaz","hirat","injil","guzara","lashkargah","nahr_e_saraj","sheberghan","aqcha","kabul","bagrami","deh_sabz","paghman","kandahar","daman","maywand","arghandab","zheray","dand","panjwayi","spin_boldak","kunduz","chawkay","asad_abad","watapur","shigal","bar_kunar","dara_e_pech","sar_kani","marawara","narang","khas_kunar","nurgal","ghazi_abad","nari","dangam","chapa_dara","matun","mandozayi","gurbuz","tani","terezayi","qalandar","mehtarlam","qarghayi","pul_e_alam","surkh_rod","rodat","jalalabad","behsud","bati_kot","chaparhar","khogyani","achin","nazyan","dur_baba","deh_bala","kama","shinwar","pachir_wa_agam","wama","barg_e_matal","waygal","parun","kamdesh","mandol","nurgaram","gardez","shawak","sayed_karam","samkani","ahmadaba","dand_wa_patan","ziruk","sharan","mata_khan","urgun","barmal","surobi_paktika","zarghun_shahr","yosuf_khel","aybak","hazrat_e_sultan","dara_e_suf_e_bala","dara_e_suf_e_payin","sar_e_pul","taloqan","yangi_qala","bangi","baharak","tirinkot","maydan_shahr","nerkh","dawlatabad_balkh","karukh","muhmand_dara","duab","secure_tenure","insecure_tenure","service_inaccess","service_access","adequate_shelter","inadequate_shelter","less_5years","over_5years","mixed_popn","seperate_popn","recent_return","no_recent_return","suburb_location","rural_location","urban_location","small_site","large_site"
"1","location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","prov_centre","34.79","33.82","47.22","17.78","64.44","40.91","36.67","6.54","0","2.27","36.36","26.51","100","0","95.35","0","53.33","20","41.67","73.53","68.83","34.43","46.15","9.38","45.24","6.78","12.5","1.37","16.67","31.25","26.67","16.07","88.06","48.57","75","75","0","0","0","0","0","0","0","0","1.85","9.09","0","0","0","0","0","66.67","0","0","0","29.63","33.33","14.29","21.43","0","100","0","0","95.35","0","0","0","0","0","100","0","0","0","0","75","9.09","0","62.5","0","75.76","0","85.25","0","0","100","73.21","0","0","0","0","0","11.11","0","46.15","0","36.36","0","0","0","11.11","0","0","0","0","0","0","33.33","0","0","76","0","0","0","0","0","13.79","0","12.5","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.67","0","0","100","55.56","0","0","0","0","0","0","66.67","0","0","0","0","0","0","28.12","0","0","0","88.06","56.67","0","0","0","75","100","0","0","0","0","0","38.35","28.12","35.2","33.56","33.21","53.41","34.97","34.63","35.09","33.97","37.93","26.25","0","0","68.91","35.48","29.33"
"3","rural","27.99","20.22","19.1","28.89","2.22","26.14","15.33","70.09","53.66","26.14","54.55","15.66","0","100","0","36.36","6.67","0","37.5","20.59","2.6","11.48","1.28","65.62","30.95","67.8","0","79.45","55.56","12.5","46.67","41.07","2.99","27.14","0","0","6.67","89.47","100","100","100","0","0","0","20.37","0","71.43","0","0","33.33","100","16.67","100","100","100","20.37","0","0","14.29","0","0","100","100","0","22.22","100","100","0","0","0","0","100","0","0","0","0","0","18.75","75","18.18","100","1.64","7.69","0","0","7.14","0","20","9.09","23.08","25","22.22","33.33","1.28","100","0","75","83.33","33.33","55.56","75","100","100","100","100","100","66.67","100","66.67","0","75","80","50","100","100","34.48","100","0","62.5","100","0","68.75","100","100","100","100","100","100","100","100","100","100","33.33","50","100","0","80","100","0","11.11","0","0","33.33","0","0","100","16.67","100","50","50","100","100","0","15.62","71.43","100","100","2.99","21.67","100","57.14","0","0","0","0","0","0","100","100","26.23","31.25","26.92","31.14","28.86","17.05","25.87","28.34","27.19","30.13","21.38","44.25","0","100","0","27.54","31.33"
"4","suburb","21.53","33.09","27.08","11.11","10","7.95","12","18.69","34.15","55.68","9.09","24.1","0","0","2.33","27.27","13.33","5","0","5.88","10.39","13.93","52.56","15.62","0","25.42","0","19.18","5.56","12.5","20","37.5","7.46","21.43","25","25","93.33","0","0","0","0","0","0","0","66.67","90.91","7.14","0","0","66.67","0","16.67","0","0","0","25.93","16.67","28.57","7.14","100","0","0","0","2.33","33.33","0","0","0","100","0","0","0","0","0","25","0","0","0","0","6.06","0","8.2","23.08","0","0","17.86","12.5","0","0","0","75","22.22","0","52.56","0","63.64","25","16.67","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.72","0","0","37.5","0","75","31.25","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","0","0","0","22.22","0","0","0","0","0","0","16.67","0","50","50","0","0","0","56.25","14.29","0","0","7.46","20","0","28.57","100","25","0","100","0","0","0","0","21.44","21.35","22.14","19.72","22.23","13.64","16.78","22.26","22.87","17.95","23.79","17.99","100","0","0","20.7","27.33"
"5","dist_centre","15.69","12.87","6.6","42.22","23.33","25","36","4.67","12.2","15.91","0","33.73","0","0","2.33","36.36","26.67","75","20.83","0","18.18","40.16","0","9.38","23.81","0","87.5","0","22.22","43.75","6.67","5.36","1.49","2.86","0","0","0","10.53","0","0","0","100","100","100","11.11","0","21.43","100","100","0","0","0","0","0","0","24.07","50","57.14","57.14","0","0","0","0","2.33","44.44","0","0","100","0","0","100","0","100","100","0","90.91","100","18.75","25","0","0","4.92","69.23","100","0","1.79","87.5","80","90.91","76.92","0","44.44","66.67","0","0","0","0","0","66.67","22.22","25","0","0","0","0","0","0","0","33.33","24","25","20","50","0","0","0","0","87.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.67","50","0","0","20","0","0","11.11","100","100","66.67","100","100","0","0","0","0","0","0","0","100","0","14.29","0","0","1.49","1.67","0","14.29","0","0","0","0","100","100","0","0","13.98","19.27","15.73","15.57","15.7","15.91","22.38","14.77","14.85","17.95","16.9","11.5","0","0","31.09","16.28","12"
"6","location_fs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","urban","50.48","46.69","53.82","60","87.78","65.91","72.67","11.21","12.2","18.18","36.36","60.24","100","0","97.67","36.36","80","95","62.5","73.53","87.01","74.59","46.15","18.75","69.05","6.78","100","1.37","38.89","75","33.33","21.43","89.55","51.43","75","75","0","10.53","0","0","0","100","100","100","12.96","9.09","21.43","100","100","0","0","66.67","0","0","0","53.7","83.33","71.43","78.57","0","100","0","0","97.67","44.44","0","0","100","0","100","100","0","100","100","75","100","100","81.25","25","75.76","0","90.16","69.23","100","100","75","87.5","80","90.91","76.92","0","55.56","66.67","46.15","0","36.36","0","0","66.67","33.33","25","0","0","0","0","0","33.33","0","33.33","100","25","20","50","0","0","13.79","0","100","0","0","25","0","0","0","0","0","0","0","0","0","0","0","66.67","50","0","66.67","20","0","100","66.67","100","100","66.67","100","100","0","66.67","0","0","0","0","0","100","28.12","14.29","0","0","89.55","58.33","0","14.29","0","75","100","0","100","100","0","0","52.33","47.4","50.93","49.13","48.91","69.32","57.34","49.4","49.94","51.92","54.83","37.76","0","0","100","51.76","41.33"
"8","rural","27.99","20.22","19.1","28.89","2.22","26.14","15.33","70.09","53.66","26.14","54.55","15.66","0","100","0","36.36","6.67","0","37.5","20.59","2.6","11.48","1.28","65.62","30.95","67.8","0","79.45","55.56","12.5","46.67","41.07","2.99","27.14","0","0","6.67","89.47","100","100","100","0","0","0","20.37","0","71.43","0","0","33.33","100","16.67","100","100","100","20.37","0","0","14.29","0","0","100","100","0","22.22","100","100","0","0","0","0","100","0","0","0","0","0","18.75","75","18.18","100","1.64","7.69","0","0","7.14","0","20","9.09","23.08","25","22.22","33.33","1.28","100","0","75","83.33","33.33","55.56","75","100","100","100","100","100","66.67","100","66.67","0","75","80","50","100","100","34.48","100","0","62.5","100","0","68.75","100","100","100","100","100","100","100","100","100","100","33.33","50","100","0","80","100","0","11.11","0","0","33.33","0","0","100","16.67","100","50","50","100","100","0","15.62","71.43","100","100","2.99","21.67","100","57.14","0","0","0","0","0","0","100","100","26.23","31.25","26.92","31.14","28.86","17.05","25.87","28.34","27.19","30.13","21.38","44.25","0","100","0","27.54","31.33"
"9","suburb","21.53","33.09","27.08","11.11","10","7.95","12","18.69","34.15","55.68","9.09","24.1","0","0","2.33","27.27","13.33","5","0","5.88","10.39","13.93","52.56","15.62","0","25.42","0","19.18","5.56","12.5","20","37.5","7.46","21.43","25","25","93.33","0","0","0","0","0","0","0","66.67","90.91","7.14","0","0","66.67","0","16.67","0","0","0","25.93","16.67","28.57","7.14","100","0","0","0","2.33","33.33","0","0","0","100","0","0","0","0","0","25","0","0","0","0","6.06","0","8.2","23.08","0","0","17.86","12.5","0","0","0","75","22.22","0","52.56","0","63.64","25","16.67","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.72","0","0","37.5","0","75","31.25","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","0","0","0","22.22","0","0","0","0","0","0","16.67","0","50","50","0","0","0","56.25","14.29","0","0","7.46","20","0","28.57","100","25","0","100","0","0","0","0","21.44","21.35","22.14","19.72","22.23","13.64","16.78","22.26","22.87","17.95","23.79","17.99","100","0","0","20.7","27.33"
"10","total_sites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","Average","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12","iset_population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","mixed","72.8","90.81","69.79","24.44","57.78","73.86","63.33","76.64","75.61","57.95","0","84.34","0","100","69.77","9.09","86.67","35","83.33","79.41","51.95","59.02","98.72","96.88","69.05","71.19","100","63.01","77.78","75","73.33","71.43","79.1","98.57","75","100","73.33","78.95","50","100","100","0","100","100","48.15","81.82","57.14","100","0","100","100","0","0","0","0","83.33","83.33","100","78.57","100","0","100","100","69.77","11.11","0","0","100","100","87.5","100","100","0","100","25","36.36","50","93.75","62.5","81.82","0","57.38","30.77","0","100","53.57","56.25","60","72.73","84.62","0","77.78","33.33","98.72","100","100","100","100","100","100","75","75","100","100","100","100","100","100","100","68","62.5","60","100","100","100","79.31","63.33","100","68.75","50","75","43.75","0","62.5","50","75","100","100","100","100","100","50","100","50","50","66.67","80","100","100","55.56","100","100","100","100","100","100","66.67","100","50","100","100","0","100","68.75","76.19","50","100","79.1","98.33","100","100","100","75","100","100","100","0","50","100","76.43","65.36","72.96","72.32","75.4","42.05","48.25","76.25","100","0","75.86","77.29","77.33","70.72","72.02","73.87","66"
"14","discrete","27.2","9.19","30.21","75.56","42.22","26.14","36.67","23.36","24.39","42.05","100","15.66","100","0","30.23","90.91","13.33","65","16.67","20.59","48.05","40.98","1.28","3.12","30.95","28.81","0","36.99","22.22","25","26.67","28.57","20.9","1.43","25","0","26.67","21.05","50","0","0","100","0","0","51.85","18.18","42.86","0","100","0","0","100","100","100","100","16.67","16.67","0","21.43","0","100","0","0","30.23","88.89","100","100","0","0","12.5","0","0","100","0","75","63.64","50","6.25","37.5","18.18","100","42.62","69.23","100","0","46.43","43.75","40","27.27","15.38","100","22.22","66.67","1.28","0","0","0","0","0","0","25","25","0","0","0","0","0","0","0","32","37.5","40","0","0","0","20.69","36.67","0","31.25","50","25","56.25","100","37.5","50","25","0","0","0","0","0","50","0","50","50","33.33","20","0","0","44.44","0","0","0","0","0","0","33.33","0","50","0","0","100","0","31.25","23.81","50","0","20.9","1.67","0","0","0","25","0","0","0","100","50","0","23.57","34.64","27.04","27.68","24.6","57.95","51.75","23.75","0","100","24.14","22.71","22.67","29.28","27.98","26.13","34"
"15","migrant_population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","idp","60.0697471665214","68.75","60.7638888888889","0","38.8888888888889","42.0454545454545","61.3333333333333","76.1682242990654","65.8536585365854","80.6818181818182","0","83.1325301204819","0","0","60.4651162790698","0","13.3333333333333","0","91.6666666666667","91.1764705882353","32.4675324675325","56.5573770491803","52.5641025641026","89.0625","50","83.0508474576271","87.5","61.6438356164384","66.6666666666667","56.25","33.3333333333333","0","70.1492537313433","71.4285714285714","25","75","53.3333333333333","73.6842105263158","50","100","100","0","100","100","77.7777777777778","81.8181818181818","85.7142857142857","100","100","66.6666666666667","100","0","0","0","0","85.1851851851852","66.6666666666667","57.1428571428571","92.8571428571429","100","0","0","0","60.4651162790698","0","0","0","0","50","0","0","0","100","0","0","0","0","87.5","100","90.9090909090909","100","29.5081967213115","46.1538461538462","50","0","69.6428571428571","25","50","90.9090909090909","53.8461538461538","0","22.2222222222222","66.6666666666667","52.5641025641026","66.6666666666667","100","100","100","66.6666666666667","88.8888888888889","100","100","75","66.6666666666667","100","100","100","0","66.6666666666667","64","25","40","50","0","0","89.6551724137931","76.6666666666667","87.5","87.5","83.3333333333333","50","81.25","0","37.5","75","50","0","0","0","0","0","50","33.3333333333333","50","50","100","80","0","100","55.5555555555556","0","100","33.3333333333333","100","100","0","33.3333333333333","0","100","50","0","0","0","0","0","0","0","70.1492537313433","75","100","28.5714285714286","100","25","100","0","100","0","100","100","60.5858854860186","58.3333333333333","59.3240093240093","62.2837370242215","62.8192999053926","27.2727272727273","60.8391608391608","59.9800399201597","62.2754491017964","54.1666666666667","83.448275862069","71.976401179941","67.2064777327935","60.7476635514019","56.6493955094991","57.5879396984925","76.6666666666667"
"18","prolong","77.4193548387097","83.8235294117647","80.2083333333333","4.44444444444444","57.7777777777778","52.2727272727273","93.3333333333333","88.3177570093458","75.609756097561","93.1818181818182","9.09090909090909","89.1566265060241","100","33.3333333333333","90.6976744186046","0","46.6666666666667","0","83.3333333333333","97.0588235294118","51.9480519480519","95.0819672131148","84.6153846153846","95.3125","40.4761904761905","86.4406779661017","87.5","89.041095890411","66.6666666666667","81.25","60","57.1428571428571","67.1641791044776","81.4285714285714","100","100","53.3333333333333","89.4736842105263","100","0","100","100","100","100","90.7407407407407","100","92.8571428571429","100","100","100","100","0","33.3333333333333","0","0","94.4444444444444","50","57.1428571428571","100","100","100","50","0","90.6976744186046","0","0","0","100","50","37.5","0","100","0","100","0","0","0","75","100","96.969696969697","100","45.9016393442623","76.9230769230769","50","100","91.0714285714286","93.75","100","100","100","100","100","100","84.6153846153846","100","100","100","100","100","88.8888888888889","100","100","100","100","100","75","100","0","100","28","62.5","60","0","100","100","86.2068965517241","86.6666666666667","87.5","93.75","100","100","100","100","87.5","75","75","100","100","50","100","0","50","100","50","50","66.6666666666667","60","0","100","88.8888888888889","0","100","100","100","0","0","66.6666666666667","100","0","50","100","100","100","62.5","52.3809523809524","0","100","67.1641791044776","86.6666666666667","100","28.5714285714286","100","100","100","100","100","0","100","100","78.8282290279627","73.9583333333333","77.2727272727273","77.8546712802768","79.6594134342479","50","73.4265734265734","77.9441117764471","80","70.5128205128205","87.9310344827586","85.2507374631269","79.7570850202429","80.3738317757009","74.7841105354059","75.3768844221106","92"
"20","protract","74.8038360941587","71.3235294117647","72.9166666666667","95.5555555555556","84.4444444444444","31.8181818181818","71.3333333333333","93.4579439252336","73.1707317073171","86.3636363636364","90.9090909090909","86.7469879518072","0","66.6666666666667","83.7209302325581","100","53.3333333333333","100","87.5","94.1176470588235","84.4155844155844","67.2131147540984","55.1282051282051","98.4375","23.8095238095238","89.8305084745763","100","98.6301369863014","66.6666666666667","50","13.3333333333333","42.8571428571429","62.6865671641791","70","100","75","86.6666666666667","68.4210526315789","50","100","0","0","100","100","83.3333333333333","100","78.5714285714286","100","100","100","100","100","66.6666666666667","100","100","87.037037037037","66.6666666666667","85.7142857142857","92.8571428571429","100","0","50","100","83.7209302325581","100","100","100","0","0","75","100","0","0","100","100","100","100","81.25","100","93.9393939393939","100","81.9672131147541","92.3076923076923","100","100","69.6428571428571","37.5","80","63.6363636363636","61.5384615384615","100","77.7777777777778","100","55.1282051282051","100","100","100","100","100","100","100","100","100","100","100","100","100","100","66.6666666666667","16","12.5","40","50","100","100","93.1034482758621","86.6666666666667","100","100","100","100","100","100","100","75","100","100","100","100","100","100","100","100","50","100","66.6666666666667","60","0","0","77.7777777777778","100","0","0","0","0","100","0","0","0","50","0","0","0","43.75","38.0952380952381","100","0","62.6865671641791","75","100","28.5714285714286","0","100","100","0","100","100","100","100","74.9667110519308","73.6979166666667","74.9417249417249","74.3944636678201","75.2128666035951","70.4545454545455","62.9370629370629","76.5469061876248","73.4131736526946","78.525641025641","78.9655172413793","88.7905604719764","80.9716599190283","79.1277258566978","69.7754749568221","72.3618090452261","92"
"22","refugee","3.0514385353095","2.57352941176471","0","0","5.55555555555556","4.54545454545455","7.33333333333333","3.73831775700935","9.75609756097561","0","0","2.40963855421687","0","0","0","0","0","0","4.16666666666667","0","6.49350649350649","8.19672131147541","0","9.375","7.14285714285714","1.69491525423729","0","0","5.55555555555556","0","6.66666666666667","0","0","1.42857142857143","0","0","0","15.7894736842105","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2857142857143","7.14285714285714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.25","0","0","0","6.55737704918033","7.69230769230769","0","0","8.92857142857143","0","40","0","7.69230769230769","0","0","0","0","0","18.1818181818182","25","0","0","22.2222222222222","0","0","0","0","0","0","0","100","0","8","0","20","0","0","0","3.44827586206897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","14.2857142857143","0","0","0","0","0","0","0","0","2.52996005326232","3.38541666666667","2.0979020979021","5.88235294117647","2.83822138126774","5.68181818181818","0.699300699300699","3.39321357285429","3.59281437125748","1.6025641025641","2.06896551724138","1.76991150442478","0.404858299595142","2.80373831775701","4.31778929188256","2.91457286432161","4"
"24","returnee","54.8387096774194","48.8970588235294","63.8888888888889","0","58.8888888888889","22.7272727272727","31.3333333333333","89.7196261682243","21.9512195121951","78.4090909090909","0","81.9277108433735","100","0","58.1395348837209","0","0","0","37.5","76.4705882352941","57.1428571428571","31.1475409836066","11.5384615384615","85.9375","16.6666666666667","93.2203389830508","75","95.8904109589041","66.6666666666667","31.25","53.3333333333333","5.35714285714286","91.044776119403","67.1428571428571","0","50","13.3333333333333","21.0526315789474","50","0","100","0","100","0","79.6296296296296","72.7272727272727","64.2857142857143","100","100","100","100","0","0","0","0","79.6296296296296","66.6666666666667","85.7142857142857","92.8571428571429","100","100","0","0","58.1395348837209","0","0","0","0","0","0","0","0","0","0","0","0","0","25","62.5","75.7575757575758","100","54.0983606557377","61.5384615384615","100","100","35.7142857142857","18.75","0","81.8181818181818","15.3846153846154","0","11.1111111111111","100","11.5384615384615","100","90.9090909090909","100","100","100","88.8888888888889","100","75","75","100","100","25","100","0","66.6666666666667","20","12.5","20","0","0","0","93.1034482758621","93.3333333333333","75","100","83.3333333333333","50","100","100","100","100","100","100","100","100","100","100","100","100","50","50","66.6666666666667","60","100","100","22.2222222222222","0","100","33.3333333333333","100","0","0","33.3333333333333","100","100","50","100","0","100","0","14.2857142857143","0","0","91.044776119403","70","50","57.1428571428571","0","0","66.6666666666667","0","100","0","100","0","58.1890812250333","47.65625","55.4778554778555","52.9411764705882","56.7644276253548","31.8181818181818","37.7622377622378","57.3852295409182","57.7245508982036","47.1153846153846","100","100","52.6315789473684","66.0436137071651","49.5682210708117","52.0603015075377","74"
"26","economic","26.9398430688753","26.8382352941176","18.75","0","25.5555555555556","4.54545454545455","12.6666666666667","63.5514018691589","60.9756097560976","23.8636363636364","0","51.8072289156626","0","0","39.5348837209302","0","0","0","16.6666666666667","44.1176470588235","15.5844155844156","12.2950819672131","3.84615384615385","84.375","4.76190476190476","83.0508474576271","87.5","35.6164383561644","38.8888888888889","6.25","6.66666666666667","1.78571428571429","0","2.85714285714286","0","100","66.6666666666667","52.6315789473684","100","100","0","0","100","100","25.9259259259259","27.2727272727273","21.4285714285714","33.3333333333333","0","0","0","0","0","0","0","59.2592592592593","33.3333333333333","28.5714285714286","50","0","0","0","0","39.5348837209302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","45.4545454545455","0","13.1147540983607","23.0769230769231","0","100","12.5","6.25","0","36.3636363636364","15.3846153846154","0","11.1111111111111","0","3.84615384615385","33.3333333333333","100","100","100","33.3333333333333","77.7777777777778","100","100","100","66.6666666666667","100","100","100","0","33.3333333333333","0","12.5","20","0","0","0","89.6551724137931","76.6666666666667","87.5","50","66.6666666666667","100","50","0","0","25","0","0","0","0","0","0","0","33.3333333333333","50","0","66.6666666666667","20","0","100","0","0","100","0","0","0","0","16.6666666666667","0","0","0","0","0","0","0","4.76190476190476","0","0","0","3.33333333333333","0","0","0","0","100","100","0","0","50","100","28.2290279627164","23.6979166666667","28.0885780885781","23.5294117647059","28.003784295175","13.6363636363636","24.4755244755245","27.3453093812375","28.9820359281437","21.474358974359","32.7586206896552","41.8879056047198","33.6032388663968","35.8255451713396","19.1709844559585","23.6180904522613","49.3333333333333"
"28","nomad","3.2258064516129","0","0.347222222222222","0","1.11111111111111","2.27272727272727","4","12.6168224299065","0","0","0","0","0","0","0","0","6.66666666666667","0","0","2.94117647058824","1.2987012987013","4.91803278688525","0","1.5625","0","23.728813559322","0","16.4383561643836","0","0","6.66666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","3.03030303030303","0","0","7.69230769230769","0","0","3.57142857142857","0","0","0","15.3846153846154","25","11.1111111111111","0","0","0","9.09090909090909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.6896551724138","26.6666666666667","0","25","33.3333333333333","0","31.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","2.52996005326232","4.16666666666667","3.26340326340326","3.11418685121107","3.40586565752129","1.13636363636364","0.699300699300699","3.59281437125748","2.75449101796407","4.48717948717949","2.75862068965517","7.37463126843658","3.23886639676113","6.54205607476635","1.38169257340242","2.01005025125628","10.6666666666667"
"29","idp_discrete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","Average","0.27","0.17","0.32","0","0.19","0.2","0.35","0.45","0.22","0.63","0","0.46","0","0","0.32","0","0.07","0","0.6","0.62","0.2","0.35","0.03","0.22","0.28","0.6","0","0.43","0.4","0.22","0.17","0","0.33","0.05","0","0","0.22","0.29","0","NaN","NaN","0","NaN","NaN","0.64","0.5","0.71","NaN","1","0","NaN","0","0","0","0","0.53","0","0","0.75","NaN","0","0","0","0.32","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0.57","1","0.16","0.36","0.5","0","0.51","0.14","0.29","0.75","0.14","0","0","0.67","0.03","0","NaN","NaN","NaN","0","0","1","1","0","0","NaN","NaN","NaN","0","0","0.36","0.14","0.4","0","0","0","0.67","0.56","0","0.71","0.75","0","0.7","0","0.29","0.67","0.33","0","0","0","0","0","0","0","0.5","0.5","1","0.5","0","NaN","0.33","0","NaN","0","NaN","NaN","0","0.2","0","1","0","0","0","0","0","0","0","0","0.33","0.06","NaN","0","NaN","0","NaN","0","NaN","0","1","NaN","0.25","0.3","0.27","0.27","0.27","0.23","0.42","0.24","0","0.54","0.56","0.35","0.29","0.31","0.24","0.24","0.49"
"31","prolong_discrete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
